timestamp_utc,open,high,low,close,tick_volume,spread,real_volume
2026-06-19T08:23:00Z,4129.54,4131.44,4129.54,4131.21,216,23,0
2026-06-19T08:24:00Z,4131.34,4131.36,4128.92,4129.15,275,23,0
2026-06-19T08:25:00Z,4129.16,4131.57,4129.14,4131.52,335,23,0
2026-06-19T08:26:00Z,4131.52,4134.51,4129.43,4133.92,271,24,0
2026-06-19T08:27:00Z,4133.93,4133.93,4132.43,4133.01,369,26,0
2026-06-19T08:28:00Z,4133.0,4133.78,4131.81,4132.51,238,25,0
2026-06-19T08:29:00Z,4132.5,4133.8,4132.29,4133.66,288,23,0
2026-06-19T08:30:00Z,4133.67,4138.39,4133.54,4138.37,433,23,0
2026-06-19T08:31:00Z,4138.11,4139.35,4137.57,4139.18,328,26,0
2026-06-19T08:32:00Z,4139.14,4139.14,4136.2,4136.68,273,25,0
2026-06-19T08:33:00Z,4136.72,4136.76,4133.51,4133.81,285,23,0
2026-06-19T08:34:00Z,4133.79,4133.91,4130.97,4132.23,330,23,0
2026-06-19T08:35:00Z,4132.13,4135.49,4132.11,4135.06,322,23,0
2026-06-19T08:36:00Z,4135.0,4135.02,4132.31,4132.36,273,23,0
2026-06-19T08:37:00Z,4132.35,4133.93,4130.6,4130.6,340,23,0
2026-06-19T08:38:00Z,4130.6,4132.62,4130.6,4132.54,286,25,0
2026-06-19T08:39:00Z,4132.57,4133.42,4131.25,4131.47,204,23,0
2026-06-19T08:40:00Z,4131.44,4132.71,4131.02,4132.29,239,23,0
2026-06-19T08:41:00Z,4132.34,4133.59,4131.35,4133.17,190,23,0
2026-06-19T08:42:00Z,4133.17,4133.2,4130.97,4131.91,237,23,0
2026-06-19T08:43:00Z,4131.92,4133.76,4131.58,4133.34,284,23,0
2026-06-19T08:44:00Z,4133.35,4134.99,4133.35,4134.98,259,23,0
2026-06-19T08:45:00Z,4134.98,4135.86,4134.66,4135.54,254,23,0
2026-06-19T08:46:00Z,4135.55,4136.85,4134.81,4136.54,233,23,0
2026-06-19T08:47:00Z,4136.56,4138.27,4136.43,4137.8,274,23,0
2026-06-19T08:48:00Z,4137.81,4138.16,4136.51,4137.89,248,23,0
2026-06-19T08:49:00Z,4137.87,4138.61,4137.48,4137.57,230,23,0
2026-06-19T08:50:00Z,4137.53,4137.53,4135.09,4135.94,300,23,0
2026-06-19T08:51:00Z,4135.93,4137.35,4135.67,4137.04,319,25,0
2026-06-19T08:52:00Z,4137.05,4137.09,4134.47,4134.49,241,24,0
2026-06-19T08:53:00Z,4134.5,4135.96,4132.87,4135.85,345,25,0
2026-06-19T08:54:00Z,4135.83,4139.03,4135.83,4139.0,291,26,0
2026-06-19T08:55:00Z,4139.0,4141.55,4138.5,4140.51,328,26,0
2026-06-19T08:56:00Z,4140.51,4140.51,4137.8,4137.81,309,25,0
2026-06-19T08:57:00Z,4137.79,4138.21,4137.11,4138.07,259,25,0
2026-06-19T08:58:00Z,4138.04,4139.77,4137.71,4139.34,244,24,0
2026-06-19T08:59:00Z,4139.33,4139.72,4138.99,4139.63,208,23,0
2026-06-19T09:00:00Z,4139.63,4140.19,4137.05,4137.92,416,19,0
2026-06-19T09:01:00Z,4137.92,4138.09,4135.33,4135.88,375,24,0
2026-06-19T09:02:00Z,4135.86,4136.34,4133.63,4134.1,322,24,0
2026-06-19T09:03:00Z,4134.09,4137.13,4133.87,4136.16,311,24,0
2026-06-19T09:04:00Z,4136.15,4139.32,4136.15,4138.02,337,24,0
2026-06-19T09:05:00Z,4137.95,4140.36,4137.74,4139.23,346,24,0
2026-06-19T09:06:00Z,4139.23,4140.16,4138.47,4139.91,339,24,0
2026-06-19T09:07:00Z,4139.91,4139.92,4136.11,4137.36,392,24,0
2026-06-19T09:08:00Z,4137.59,4138.32,4136.87,4137.76,330,24,0
2026-06-19T09:09:00Z,4137.75,4143.39,4137.51,4143.37,416,23,0
2026-06-19T09:10:00Z,4143.34,4144.03,4140.01,4140.35,432,24,0
2026-06-19T09:11:00Z,4140.39,4143.8,4139.95,4143.43,328,24,0
2026-06-19T09:12:00Z,4143.44,4145.01,4143.44,4144.95,335,24,0
2026-06-19T09:13:00Z,4144.94,4146.21,4144.23,4145.97,338,23,0
2026-06-19T09:14:00Z,4145.94,4148.04,4145.61,4147.15,297,22,0
2026-06-19T09:15:00Z,4147.14,4147.37,4142.01,4142.01,362,22,0
